"Order","Active","Text Above Question","Question Title","Activity","Type","Dropdown/Checkbox options","Show in Final Questions Section","Answer Required?"
"3","True","<hr style=""height:3px;background-color:#ff769c;border:none;"" />
<h2 style=""text-align:center;margin:0px;color:#ff769c;"">🔋 SLOT 3 🔋</h2>
<hr style=""height:3px;background-color:#ff769c;border:none;"" />","Positive recharging comment:","The Battery","Paragraph Text","","No","No"
"2","True","<hr style=""height:3px;background-color:#ff769c;border:none;"" /><h2 style=""text-align:center;margin:0px;color:#ff769c;"">🔋 SLOT 2 🔋</h2><hr style=""height:3px;background-color:#ff769c;border:none;"" />","Positive recharging comment:","The Battery","Paragraph Text","","No","No"
"1","True","<hr style=""height:3px;background-color:#ff769c;border:none;"" />
<h2 style=""text-align:center;margin:0px;color:#ff769c;"">🔋 SLOT 1 🔋</h2>
<hr style=""height:3px;background-color:#ff769c;border:none;"" />","Positive recharging comment:","The Battery","Paragraph Text","","No","No"
"111","True","","Final thoughts and reflections:","The Battery","Paragraph Text","","Yes","No"
"110","True","<hr /><p><br /></p>","Please help us by rating this activity below:","The Battery","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"101","True","<p>Challenge your inner critic with data. Your SATS scores. Your reports from Year 7, 8 or 9. The last decent
grade you got on a piece of work. Or challenge your negative voice with a demand. “Well if you think that,
what should I do about it? Got any ideas?” </p><p>Use this space to plan a response that covers these two bases – drawing on data, and challenging the
negative voice directly:</p>","How can you use data to respond to your inner critic?","The Battery","Paragraph Text","","Yes","No"
"100","True","","Design a quick fire response to your inner critic?","The Battery","Paragraph Text","","Yes","No"
"111","True","","Final thoughts and reflections:","Problem Solving","Paragraph Text","","Yes","No"
"110","True","<hr /><p><br /></p>","Please help us by rating this activity below:","Problem Solving","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"102","True","<hr /><p><strong>3. Prove it! - </strong><em>Using this technique, you try to prove the problem is impossible to solve. Get as much
evidence as you can to prove there’s no way out. Wherever you can’t prove its impossible to solve,
make a note of why. Here, apparently, lie the possible solutions</em>
</p>","Do you have a problem that you could use the Prove it strategy to solve?","Problem Solving","Paragraph Text","","Yes","No"
"101","True","<hr /><p><strong>2. O.O.D.A. - </strong><em>Designed by a US Airforce colonel called John Boyd, this stands for observe, orientate, decide, act.
A simple four step problem-solving approach that begins with closely studying a problem before
choosing a way forward. (more information about this strategy can be found by clicking this link - <a href=""https://fs.blog/2018/01/john-boyd-ooda-loop/"" target=""_blank""><strong>OODA strategy</strong></a>)</em><br /></p>","Do you have a problem that you use the O.O.D.A strategy to solve?","Problem Solving","Paragraph Text","","Yes","No"
"100","True","<hr />
<p><strong>1. Breaking Down: </strong>One big problem might look too much to handle. But every big problem is composed
of smaller problems. With this approach, you identify one or two smaller issues, and you try and fix
those first.
</p>","Do you have a problem that you could break down into lots of smaller problems?","Problem Solving","Paragraph Text","","Yes","No"
"7","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" /><h4 style=""text-align:center;color:#ff769c;margin:0px;""><strong>🧪 EXPERIMENT WITH ACTION 🧪</strong></h4><hr style=""height:2px;background-color:#ff769c;border:none;"" /><p>Key question: <strong><em>‘How did it go, and what have
I learned?’ </em></strong></p><p>You’ll be in this phase for a week. </p><p>Try one of
your top three actions. As you go along,
get a sense of how it is working. Persist with
it, thinking about its impact on your learning. </p><p>Then assess it at the end of the period.
Discard, repeat or modify. You may need to return to this activity to reflect on the success of the action.</p>","How did it go, and what have I learned?","Problem Solving","Paragraph Text","","No","No"
"6","True","","My top option for action:","Problem Solving","Short Text","","No","No"
"4","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" /><h4 style=""text-align:center;margin:0px;color:#ff769c;""><strong>🧐ANALYSE PROBLEM 🧐</strong></h4><hr style=""height:2px;background-color:#ff769c;border:none;"" /><p>Key question:<strong><em> ‘Why is it happening?’ </em></strong></p><p>Stay here for ten minutes. List every single reason
why the problem is happening. Make your list as
long as possible, exploring yourself and your own
actions, your attitudes and beliefs, the infuence of
those around you, your classrooms, lessons, work
materials, the impact of external events, the impact
of teachers and tutors and so on.
Calmly list everything, making sure nothing is
missed. </p><p>Do not bother yourself with solutions yet.
Take your time. </p>","Why is this problem happening?","Problem Solving","Paragraph Text","","No","No"
"5","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" /><h4 style=""text-align:center;color:#ff769c;margin:0px;""><strong>🎬 DECIDE ON ACTION 🎬</strong></h4><hr style=""height:2px;background-color:#ff769c;border:none;"" /><p>Key question: <strong><em>‘What are my options?’</em></strong>
</p><p>Stay here for ten minutes.Look back at what is
happening and why. Only focus on the things you
can solve. Calmly set aside things outside your
control. Sift through your analysis of the problem
and begin listing things you could do.</p><p>Be uncritical;
ignore the part of your brain saying, <strong><em>‘That’s a terrible
idea!’</em></strong> or <strong><em>‘How could that work? It’s ridiculous!’ </em></strong>and
continue to list courses of action. Start with ‘<strong><em>I could
…’ </em></strong>and go from there. </p><p>When you’re stuck, bring to
mind everyone who could help – teachers, tutors,
mentors, parents, family, friends. </p><p>When you’ve completed your list of options, choose your
favourite three, then your top option.
</p>","What are my different options for action?","Problem Solving","Paragraph Text","","No","No"
"3","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" /><h4 style=""text-align:center;margin:0px;color:#ff769c;"">🗺️EXPLORE PROBLEM 🗺️</h4><hr style=""height:2px;background-color:#ff769c;border:none;"" /><p>Key question: <strong><em>‘What is currently happening?’ </em></strong>
</p><p><strong><em></em></strong>Stay here for ten minutes, assessing the exact situation
you are in. Do not use judgemental or emotional language
	<strong>(‘terrible’, ‘crap’, ‘nightmare’).</strong>
</p><p>Instead use facts and figures (<strong>‘I’m on
a grade E’, ‘My motivation is very low’).
	</strong>
</p><p>Dredge up every
last bit of evidence you can fnd – grades, test scores,
attendance, levels of effort and energy, feedback.
</p><p>Describe
only – do not use 
	<strong>‘because’</strong> yet; avoid justifying anything.
Calmly list everything about your current situation.
</p>","What is currently happening?","Problem Solving","Paragraph Text","","No","No"
"2","True","","The result of the problem:","Problem Solving","Short Text","","No","No"
"1","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" /><h4 style=""text-align:center;margin:0px;color:#ff769c;""><strong>😓THE PROBLEM 😓</strong></h4><hr style=""height:2px;background-color:#ff769c;border:none;"" /><p>First, choose a problem you’re battling with or a barrier you’re facing. It might be to do with study habits,
current performance, levels of energy or a subject-specifc issue.
</p><p>Once you have a problem to explore, use the boxes below to decide on a course of action.
</p><p>For the cycle to work, stay in each quadrant for a good period of time, getting the most out of each stage.
The solutions you come up with will be better ones as a result!
	<br />
</p>","The Problem:","Problem Solving","Paragraph Text","","No","No"
"101","True","","Final thoughts and reflections:","Network Audits","Paragraph Text","","Yes","No"
"100","True","<hr /><p><br /></p>","Please help us by rating this activity below:","Network Audits","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"11","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" /><h5><strong><em>Finally - actually go and see them!</em></strong>
</h5><p>Note: This works the other way too. What if someone comes asking you for help? Pay it forward. Give the
time. Build up an account of goodwill you can draw on when you need it.
</p>","Commit to making the time to see them, add a time or date below:","Network Audits","Short Text","","No","No"
"10","True","","Which person in my network could help with this?","Network Audits","Short Text","","No","No"
"9","True","<hr style=""height:1px;background-color:#ff769c;border:none;"" />","Task 3:","Network Audits","Paragraph Text","","No","No"
"8","True","","Which person in my network could help with this?","Network Audits","Short Text","","No","No"
"7","True","<hr style=""height:1px;background-color:#ff769c;border:none;"" />","Task 2:","Network Audits","Paragraph Text","","No","No"
"6","True","","Which person in my network could help with this?","Network Audits","Short Text","","No","No"
"5","True","<hr style=""height:1px;background-color:#ff769c;border:none;"" /><h4><strong><em>How can your Network help you?</em></strong>
</h4><p>Now you’ve made your list, hthink about all those people you’ve relied heavily on before. You’ve hassled
them a lot – gone back to them to seek help and advice. Consider the following questions
</p><ul>
	<li><em>Did you find there are none of these individuals? - Are you trying to do everything on your own?  </em></li>
	<li><em><span></span>Are there any layers where you’ve consulted no one at all? </em></li>
	<li><em>Are
there any untapped resources in your network?
	</em>
	</li>
</ul>List three things you need to get done this month, and for each of the tasks, attach the name of one person who could help you to get it done quicker:<p><br /></p>
<hr style=""height:1px;background-color:#ff769c;border:none;"" />","Task 1:","Network Audits","Paragraph Text","","No","No"
"4","True","<p><br />
</p><hr style=""height:2px;background-color:#ff769c;border:none;"" /><h5 style=""text-align:center;margin:0px;color:#ff769c;""><strong>👨🏫 PROFESSIONALS 👨🏫</strong></h5><hr style=""height:2px;background-color:#ff769c;border:none;"" /><p>Finally consider your teachers, tutors and other professionals. 
You attend a school where every paid member of staf has a genuine interest in helping you improve. Your
first thoughts might be your own teachers, but what about other staff members – librarians, tutors and
mentors? All of them will have something to ofer
</p>","Teachers, Tutors and Professionals Audit:","Network Audits","Paragraph Text","","No","No"
"3","True","<p><br />
</p>
<hr style=""height:2px;background-color:#ff769c;border:none;"" />
<h5 style=""text-align:center;margin:0px;color:#ff769c;""><strong>👪🏾 FAMILY 👪🏾</strong></h5>
<hr style=""height:2px;background-color:#ff769c;border:none;"" />
<p>Next think about your family. Parents, of course, but also aunties, uncles, cousins and family friends.
</p>","Family Audit:","Network Audits","Paragraph Text","","No","No"
"2","True","<p><br />
</p>
<hr style=""height:2px;background-color:#ff769c;border:none;"" />
<h5 style=""text-align:center;margin:0px;color:#ff769c;""><strong>🧍PEERS 🧍</strong></h5>
<hr style=""height:2px;background-color:#ff769c;border:none;"" />
<p>Think of friends you have at school, but also
those you might have outside of school,
on social media or at other schools. List them below
</p><br />Now consider your peers (other people your age that you don't count as <em>""friends""). </em>Consider the following questions when compiling your list<span></span>
<ul>
	<li><em>Who among your peers has the
potential to help you out? 
	</em></li>
	<li><em><span></span>Who, a
few years older, has gone through
this already? 
	</em></li>
	<li><em>Who’s an expert
on the subjects you’re
struggling with? 
	</em></li>
	<li><em>Which of
your friends has an older brother or sister you could speak to?
	</em></li>
</ul>","Peers Audit:","Network Audits","Paragraph Text","","No","No"
"1","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" />
<h5 style=""text-align:center;margin:0px;color:#ff769c;""><strong>🧑🏻🤝🧑🏿 FRIENDS 🧑🏻🤝🧑🏿</strong></h5>
<hr style=""height:2px;background-color:#ff769c;border:none;"" />
<p>Think of friends you have at school, but also
those you might have outside of school,
on social media or at other schools. List them below
</p>","Friends Audit:","Network Audits","Paragraph Text","","No","No"
"102","True","","Final thoughts and reflections:","Managing Reactions","Paragraph Text","","Yes","No"
"101","True","<hr /><p><br /></p>","Please help us by rating this activity below:","Managing Reactions","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"100","True","","What are the characteristics of the most positive people you know?","Managing Reactions","Paragraph Text","","Yes","No"
"4","True","<hr style=""height:3px;background-color:green;border:none;"" /><h2 style=""text-align:center;margin:0px;color:green;"">🟢 GREEN ZONE 🟢</h2><hr style=""height:3px;background-color:green;border:none;"" /><p>Finally explain how you acted on the feedback, or how you <strong><em>might </em></strong>have acted on the feedback differently, for example, if you accepted it and decided to take positive action.</p>","Your thoughts:","Managing Reactions","Paragraph Text","","No","No"
"3","True","<hr style=""height:3px;background-color:blue;border:none;"" /><h2 style=""text-align:center;margin:0px;color:blue;"">🔵 BLUE ZONE 🔵</h2><hr style=""height:3px;background-color:blue;border:none;"" /><p>Now explain how you rationalised this feedback or, if you didn't reach this stage, explain how you might have thought about the feedback differently.</p>","You thoughts:","Managing Reactions","Paragraph Text","","No","No"
"1","True","<p>First describe a piece of feedback you have recently recieved. Explain which subject or topic it was from and how much effort you put into the work.</p>","Recent Feedback:","Managing Reactions","Paragraph Text","","No","No"
"2","True","<hr style=""height:3px;background-color:red;border:none;"" /><h2 style=""text-align:center;margin:0px;color:red;"">🔴 RED ZONE 🔴</h2><hr style=""height:3px;background-color:red;border:none;"" /><p>Here add your emotional response to your feedback, for example; shock, anger or denial. </p><p><em>Did you move beyond this stage into the Blue Zone?</em></p>","Your Thoughts:","Managing Reactions","Paragraph Text","","No","No"
"101","True","","Final thoughts and reflections:","Growth Mindset","Paragraph Text","","Yes","No"
"100","True","<hr />","Please help us by rating this activity below:","Growth Mindset","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"19","True","","______ is lucky. They’re just naturally brilliant at it. I’m not.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"18","True","","This topic is impossible. I’m just going to hope it doesn’t come up in the exam.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"17","True","","I can’t do this. I’ll never be able to do this.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"16","True","","I’ve not totally understood this yet. I’m going to go over it again.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"15","True","","I must have missed something. I just need to go back and check I’ve got this clear ","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"14","True","","Let me have another go at this – I’ll get better.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"13","True","","I’m not a creative person.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"12","True","","I’m going to take a break and come back refreshed. I’ll make some progress then.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"11","True","","I’ve just not got a brain for English/maths/science.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"10","True","","A couple of hours of intense study and I reckon I can crack this problem.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"9","True","","This doesn’t come naturally to me.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"8","True","","Maybe if I was cleverer this would be achievable.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"7","True","","I’m hopeless at this.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"6","True","","I just need to get some more practice in.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"5","True","<hr /><h4 style=""text-align:center;margin:0px;color:#ff769c;""><strong>❔ A QUICK TEST! ❔</strong><strong></strong></h4><hr /><p>We often fnd that pupils express their attitudes towards learning through the things they say. We’ve listed
fifteen phrases we’ve heard pupils tell us before now. Sort them into fxed and growth mindset statements by
ticking the appropriate box.
</p>","I’ve never been good at maths.","Growth Mindset","Dropdown","Fixed Mindset,Growth Mindset","No","No"
"4","True","","What could you do to change to more of a growth mindset?","Growth Mindset","Paragraph Text","","No","No"
"3","True","","Where do you have fxed mindset thinking and where do you have more of a growth mindset?","Growth Mindset","Paragraph Text","","No","No"
"2","True","","What have you learnt about yourself?","Growth Mindset","Paragraph Text","","No","No"
"1","True","<hr /><h2 style=""text-align:center;margin:0px;color:#ff769c;""><strong>GROWTH MINDSET QUESTIONNAIRE</strong></h2><hr /><p>Dweck has developed a questionnaire that helps you to think about your mindset. We have created an adapted version for you to try below. Try completing the questionniare, when you have finished it will calculate your growth mindset score and give you a short comment. Use the boxes below to respond to the comment.
</p><hr /><iframe id=""JotFormIFrame-210455074442045"" title=""Growth Mindset Questionnaire"" allowfullscreen=""true"" src=""https://form.jotform.com/210455074442045"" style=""height:539px;border:none;"">
</iframe><hr />","Growth Mindset Score:","Growth Mindset","Short Text","","No","No"
"102","True","","Final thoughts and reflections:","Benefit Finding","Paragraph Text","","Yes","No"
"101","True","<hr /><p><br /></p>","Please help us by rating this activity below:","Benefit Finding","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"100","True","","Who could you interview about their experiences?","Benefit Finding","Short Text","","Yes","No"
"11","True","","Explanation:","Benefit Finding","Paragraph Text","","No","No"
"10","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" />","Positive Spin 5","Benefit Finding","Dropdown","A personal quality that has strengthened because of the experience,A personal quality you didn’t have at all that you’ve now begun to develop,An increased appreciation of some part of your life as a result of the experience,A valuable lesson you’ve extracted from the experience,A realisation about life that you might not have ever considered before the experience,An increased confidence about that way the world (or certain people) work because of what happened to you,A skill you’ve developed or consolidated (e.g. thinking through problems / reflecting and understanding / communicating ideas / arguing confidently) because of the experience,A relationship that has strengthened - perhaps with someone who helped or supported you through the experience or a stronger relationship with someone who hurt you,A ‘rule’ you have extracted from the experience that you can now test in new situations,A reassessment of certain priorities that might have happened because of the experience","No","No"
"9","True","","Explanation:","Benefit Finding","Paragraph Text","","No","No"
"8","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" />","Positive Spin 4:","Benefit Finding","Dropdown","A personal quality that has strengthened because of the experience,A personal quality you didn’t have at all that you’ve now begun to develop,An increased appreciation of some part of your life as a result of the experience,A valuable lesson you’ve extracted from the experience,A realisation about life that you might not have ever considered before the experience,An increased confidence about that way the world (or certain people) work because of what happened to you,A skill you’ve developed or consolidated (e.g. thinking through problems / reflecting and understanding / communicating ideas / arguing confidently) because of the experience,A relationship that has strengthened - perhaps with someone who helped or supported you through the experience or a stronger relationship with someone who hurt you,A ‘rule’ you have extracted from the experience that you can now test in new situations,A reassessment of certain priorities that might have happened because of the experience","No","No"
"7","True","","Explanation:","Benefit Finding","Paragraph Text","","No","No"
"6","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" />","Positive Spin 3:","Benefit Finding","Dropdown","A personal quality that has strengthened because of the experience,A personal quality you didn’t have at all that you’ve now begun to develop,An increased appreciation of some part of your life as a result of the experience,A valuable lesson you’ve extracted from the experience,A realisation about life that you might not have ever considered before the experience,An increased confidence about that way the world (or certain people) work because of what happened to you,A skill you’ve developed or consolidated (e.g. thinking through problems / reflecting and understanding / communicating ideas / arguing confidently) because of the experience,A relationship that has strengthened - perhaps with someone who helped or supported you through the experience or a stronger relationship with someone who hurt you,A ‘rule’ you have extracted from the experience that you can now test in new situations,A reassessment of certain priorities that might have happened because of the experience","No","No"
"5","True","","Explanation:","Benefit Finding","Paragraph Text","A personal quality that has strengthened because of the experience,A personal quality you didn’t have at all that you’ve now begun to develop,An increased appreciation of some part of your life as a result of the experience,A valuable lesson you’ve extracted from the experience,A realisation about life that you might not have ever considered before the experience,An increased confidence about that way the world (or certain people) work because of what happened to you,A skill you’ve developed or consolidated (e.g. thinking through problems / reflecting and understanding / communicating ideas / arguing confidently) because of the experience,A relationship that has strengthened - perhaps with someone who helped or supported you through the experience or a stronger relationship with someone who hurt you,A ‘rule’ you have extracted from the experience that you can now test in new situations,A reassessment of certain priorities that might have happened because of the experience","No","No"
"4","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" />","Positive Spin 2:","Benefit Finding","Dropdown","A personal quality that has strengthened because of the experience,A personal quality you didn’t have at all that you’ve now begun to develop,An increased appreciation of some part of your life as a result of the experience,A valuable lesson you’ve extracted from the experience,A realisation about life that you might not have ever considered before the experience,An increased confidence about that way the world (or certain people) work because of what happened to you,A skill you’ve developed or consolidated (e.g. thinking through problems / reflecting and understanding / communicating ideas / arguing confidently) because of the experience,A relationship that has strengthened - perhaps with someone who helped or supported you through the experience or a stronger relationship with someone who hurt you,A ‘rule’ you have extracted from the experience that you can now test in new situations,A reassessment of certain priorities that might have happened because of the experience","No","No"
"3","True","","Explanation:","Benefit Finding","Paragraph Text","A personal quality that has strengthened because of the experience,A personal quality you didn’t have at all that you’ve now begun to develop,An increased appreciation of some part of your life as a result of the experience,A valuable lesson you’ve extracted from the experience,A realisation about life that you might not have ever considered before the experience,An increased confidence about that way the world (or certain people) work because of what happened to you,A skill you’ve developed or consolidated (e.g. thinking through problems / reflecting and understanding / communicating ideas / arguing confidently) because of the experience,A relationship that has strengthened - perhaps with someone who helped or supported you through the experience or a stronger relationship with someone who hurt you,A ‘rule’ you have extracted from the experience that you can now test in new situations,A reassessment of certain priorities that might have happened because of the experience","No","No"
"2","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" />
<h5 style=""text-align:center;margin:0px;color:#ff769c;""><strong>👍 Benefit Finding 👍</strong><strong></strong></h5>
<hr style=""height:2px;background-color:#ff769c;border:none;"" />
<p>Now you have thought about a previous negative experience it is time to start finding the benefits from that experience.  Respond to 5 of the statments in the drop down menus to highlight the potential positives in your experience.
</p>","Positive Spin 1:","Benefit Finding","Dropdown","A personal quality that has strengthened because of the experience,A personal quality you didn’t have at all that you’ve now begun to develop,An increased appreciation of some part of your life as a result of the experience,A valuable lesson you’ve extracted from the experience,A realisation about life that you might not have ever considered before the experience,An increased confidence about that way the world (or certain people) work because of what happened to you,A skill you’ve developed or consolidated (e.g. thinking through problems / reflecting and understanding / communicating ideas / arguing confidently) because of the experience,A relationship that has strengthened - perhaps with someone who helped or supported you through the experience or a stronger relationship with someone who hurt you,A ‘rule’ you have extracted from the experience that you can now test in new situations,A reassessment of certain priorities that might have happened because of the experience","No","No"
"1","True","","Describe a recent negative experience:","Benefit Finding","Paragraph Text","","No","No"
"111","True","","Final thoughts and reflections:","Will vs Skill","Paragraph Text","","Yes","No"
"110","True","<hr /><p><br /></p>","Please help us by rating this activity below:","Will vs Skill","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"102","True","<p>Finally, make sure you line up a great reward for getting the job done!</p>","My Reward?","Will vs Skill","Short Text","","Yes","No"
"101","True","<p>Now choose a day of the week when you’ve got some space and freedom at that time of day, and set aside an hour or two to tackle a low will/low skill topic or subject.<span></span></p>","Which day(s) work best for you?","Will vs Skill","Short Text","","Yes","No"
"100","True","<p>It’s important to choose a high energy, positive time of day to tackle low will/low skill topics and subjects.<br /></p>","If you had to choose a time of day when you feel most alert would it be:","Will vs Skill","Checkboxes","Early Morning,Late Morning(pre-lunch),Early Afternoon(after-lunch),Late Afternoon - just after school,Evening","Yes","No"
"6","True","","Which Topic(s) should you be spending more time?","Will vs Skill","Paragraph Text","","No","No"
"5","True","<hr /><h5 style=""text-align:center;color:green;"">🕶️<strong><em>The Matrix </em></strong>🕶️</h5><hr /><p><br />If you would like to create a visual reminder of this activity, plot each topic onto the grid below. <em>(If you are doing this activity on a mobile device you may need to change your orientation) </em><br />Once you have completed the matrix - click print to save a copy as a pdf</p><em><iframe id=""JotFormIFrame-210385499873369"" title=""Will vs Skill Matrix"" allowfullscreen=""true"" src=""https://form.jotform.com/210385499873369"" style=""height:600px;border:none;"">
</iframe><hr /><p>When you’ve added all the topics to the table, it’s time for some refection.
Where have you been spending most of your revision time? Is it time to tackle the low will/low skill box?
</p></em>","In which box have you been spending most of your revision time?","Will vs Skill","Dropdown","High Will / High Skill,High Will / Low Skill,Low Skill / Low Will, Low Skill / High Will","No","No"
"3","True","<hr /><p><strong><em>4.  Now add any subjects you have rated Low Will / Low Skill</em></strong>
</p><p><em>(These are the topics you don’t like and you know that your skills need developing.)</em></p>","Low Will / Low Skill Topics","Will vs Skill","Paragraph Text","","No","No"
"4","True","<hr /><p><strong><em>5. Finally add any topics that you have rated Low Will / High Skill.</em></strong></p><p><em>(This is an interesting box. It’s the topics you might not be keen on but you are good
at them.)</em></p>","Low Will /  High Skill Topics","Will vs Skill","Paragraph Text","","No","No"
"2","True","<hr /><p><em><strong>3. Add all the topics you have rated High Will / Low Skill.</strong></em><br />
</p><p><em>(Here you put the topics that you like doing but you are still developing your skills. - For example, you might like research methods in sociology but you know that your expertise still needs to be developed)</em>
</p>","High Will / Low Skill Topics:","Will vs Skill","Paragraph Text","","No","No"
"1","True","<h5 style=""text-align:center;color:#a986ff;"">📖<strong><em>Topic Selector</em></strong>📖</h5><hr /><p><strong><em>1. Add up to 10 topics or subjects onto the table below. Then use the dropdown boxes to decide your level of Will and Skill for each one.</em></strong></p><h5><strong><em></em></strong>
<iframe id=""JotFormIFrame-210386379386366"" title=""Topic Selector"" allowfullscreen=""true"" src=""https://form.jotform.com/210386379386366"" style=""height:600px;border:none;"">
</iframe></h5><hr /><p><strong><em>2. Add any topics that you have rated High Will / High Skill in the box below:</em></strong><br />
</p><p><em>(These are the topics that you love doing and that you are good at.)</em>
</p>","High Will / High Skill Topics:","Will vs Skill","Paragraph Text","","No","No"
"110","True","","Final thoughts and reflections:","Time to Teach","Paragraph Text","","Yes","No"
